station_id,station_name,is_new_in_post,is_removed_in_post,is_interchange,station_codes,line_names,lat,lon,betweenness_pre,betweenness_post,betweenness_delta,closeness_pre,closeness_post,closeness_delta,out_degree_pre,out_degree_post,in_degree_pre,in_degree_post,betweenness_delta_rank_desc,closeness_delta_rank_desc
CC10,MacPherson,False,False,True,CC10|DT26,Circle Line|Downtown Line,1.3258707110251868,103.88955832467485,0.18666966,0.18206418,-0.00460548,0.06176599,0.06193934,0.00017335,4,4,4,4,137,68
CC22,Buona Vista,False,False,True,CC22|EW21,Circle Line|East-West Line,1.306929434516004,103.79065881256486,0.23842773,0.23361111,-0.00481662,0.06097037,0.06115563,0.00018526,4,4,4,4,138,66
CC13,Serangoon,False,False,True,CC13|NE12,Circle Line|North East Line,1.3502623171668309,103.87329741577365,0.16722439,0.1623643,-0.00486009,0.06222612,0.06223176,5.64e-06,4,4,4,4,139,101
DT10,Stevens,False,False,True,DT10|TE11,Downtown Line|Thomson-East Coast Line,1.320141727991971,103.82578779784079,0.28762908,0.28233922,-0.00528986,0.07197162,0.07221116,0.00023954,4,4,4,4,140,60
CC21,Holland Village,False,False,False,CC21,Circle Line,1.3110003169231763,103.79588732699557,0.17381547,0.16667305,-0.00714242,0.06217163,0.06228522,0.00011359,2,2,2,2,141,79
CC20,Farrer Road,False,False,False,CC20,Circle Line,1.317522871033869,103.80767723263273,0.18104086,0.17374521,-0.00729565,0.06669798,0.06682028,0.0001223,2,2,2,2,142,76
CC19,Botanic Gardens,False,False,True,CC19|DT9,Circle Line|Downtown Line,1.3226096226428752,103.81544552576293,0.27430493,0.26576309,-0.00854184,0.06950563,0.06967804,0.00017241,4,4,4,4,143,69
NS28,Marina South Pier,False,False,False,NS28,North-South Line,1.2709839133404244,103.8629548603669,0.0,0.0,0.0,0.06063194,0.06144068,0.00080874,1,1,1,1,32,12
TE29,Bayshore,False,False,False,TE29,Thomson-East Coast Line,1.312814733378945,103.94158330608437,0.0,0.0,0.0,0.03281719,0.03302961,0.00021242,1,1,1,1,30,63
CG2,Changi Airport,False,False,False,CG2,Changi Airport Branch Line,1.356780838532488,103.98829061110587,0.0,0.0,0.0,0.03058367,0.03061655,3.288e-05,1,1,1,1,37,96
DT1,Bukit Panjang,False,False,False,DT1,Downtown Line,1.3786217351770065,103.7621427618644,0.0,0.0,0.0,0.03752643,0.03755504,2.861e-05,1,1,1,1,36,97
EW1,Pasir Ris,False,False,False,EW1,East-West Line,1.3728641027162678,103.94923518349682,0.0,0.0,0.0,0.03360151,0.03361929,1.778e-05,1,1,1,1,35,100
NE18,Punggol Coast,False,False,False,NE18,North East Line,,,0.0,0.0,0.0,0.03759598,0.03758424,-1.174e-05,1,1,1,1,33,105
EW33,Tuas Link,False,False,False,EW33,East-West Line,1.3406834857368601,103.63704319374754,0.0,0.0,0.0,0.02321779,0.02319629,-2.15e-05,1,1,1,1,34,109
TE1,Woodlands North,False,False,False,TE1,Thomson-East Coast Line,1.4484919011018793,103.78526567604953,0.0,0.0,0.0,0.02994517,0.02982925,-0.00011592,1,1,1,1,31,135
